repository,total_files,total_folders,lines,python,html,css,javascript,java,cpp,dependency_count,readme_score,functions,complexity,language_count,tech_stack_count,has_readme,has_license,has_gitignore,stars,forks,watchers,open_issues,language,size,created_days,updated_days,health_score,health_grade,complexity_supported,functions_supported
OtterMind/Chat2DB,3754,1954,638132,5,1,0,8,2066,0,94,90,15213,2.95,15,5,True,True,True,28053,3024,28053,274,Java,51614,1166.34,0.2,74.5,Good,True,True
PaddlePaddle/PaddleOCR,2492,515,2057656,593,6,0,8,9,11,39,90,5943,3.57,21,8,True,True,True,88454,11259,88454,235,Python,1964014,2304.48,0.01,79.5,Good,True,True
Significant-Gravitas/AutoGPT,3176,717,928351,1549,0,5,15,0,0,157,80,29352,3.43,14,7,True,True,True,186991,46051,186991,520,Python,697405,1262.53,0.02,67.0,Moderate,True,True
ToolJet/ToolJet,11311,2245,24816869,1,5,15,1361,0,0,565,90,13182,4.82,15,3,True,True,True,40791,5422,40791,1170,JavaScript,1693654,1978.55,0.22,68.5,Moderate,True,True
YunaiV/ruoyi-vue-pro,7893,4022,839153,1,0,0,0,6451,0,9,40,17505,2.02,13,3,True,True,True,39063,8435,39063,23,Java,194483,2043.79,0.08,81.0,Good,True,True
YunaiV/yudao-cloud,8108,4310,847055,1,0,0,0,6528,0,9,40,17395,2.03,10,3,True,True,True,19460,4868,19460,10,Java,57228,2676.25,0.2,81.0,Good,True,True
abi/screenshot-to-code,316,59,58437,135,3,1,3,0,0,65,60,1379,4.01,13,4,True,True,True,76006,9259,76006,131,Python,11335,1019.18,0.0,71.0,Good,True,True
abiosoft/colima,164,49,23728,0,0,0,0,0,0,0,90,-,Not Supported,9,1,True,True,True,30561,605,30561,390,Go,3270,1820.51,0.03,68.0,Moderate,False,False
adam-p/markdown-here,457,28,173844,0,7,256,28,0,0,3,90,659,8.17,8,2,True,True,True,60250,11028,60250,318,JavaScript,17985,5221.78,0.25,76.5,Good,True,True
addyosmani/agent-skills,194,82,19060,2,1,0,32,0,0,0,90,76,5.7,9,3,True,True,True,90693,9706,90693,122,JavaScript,1016,195.08,0.0,73.5,Good,True,True
affaan-m/ECC,3511,1261,908122,63,0,1,532,0,0,13,90,5190,5.84,14,5,True,True,True,244205,36926,244205,120,JavaScript,48321,223.89,0.0,78.5,Good,True,True
agalwood/Motrix,1832,197,482388,0,2,2,2,0,0,78,90,5368,5.5,13,3,True,True,True,54819,5006,54819,131,TypeScript,80982,2811.43,0.08,71.5,Good,True,True
ageitgey/face_recognition,106,21,123197,30,0,0,0,0,0,6,70,76,2.61,9,3,True,True,True,56689,13696,56689,832,Python,103973,3466.01,0.18,85.5,Excellent,True,True
airbnb/javascript,63,13,10524,0,0,0,28,0,0,19,90,10,36.2,4,2,True,False,True,148145,26593,148145,163,JavaScript,3738,5048.96,0.17,52.5,Needs Improvement,True,True
airbnb/lottie-android,1291,265,344602,0,0,0,1,235,0,0,60,1727,2.23,10,2,True,True,True,35715,5431,35715,72,Java,137398,3613.98,0.08,76.0,Good,True,True
algorithm-visualizer/algorithm-visualizer,106,43,25346,0,1,0,51,1,1,34,60,67,4.51,10,3,True,True,True,48702,7580,48702,80,JavaScript,21182,3758.9,0.25,75.0,Good,True,True
alibaba/arthas,1731,669,273741,1,16,7,35,1017,1,93,90,8068,2.63,20,5,True,True,True,37502,7644,37502,484,Java,73170,2922.2,0.25,74.5,Good,True,True
alibaba/canal,1364,926,382035,1,2,18,70,703,0,102,65,8376,3.81,15,5,True,True,True,29728,7627,29728,1254,Java,24261,4976.47,0.21,67.75,Moderate,True,True
alibaba/druid,6746,802,817859,0,50,5,10,5361,0,23,65,24999,2.68,13,3,True,False,True,28177,8558,28177,2326,Java,94025,5413.71,0.21,68.75,Moderate,True,True
alvarotrigo/fullPage.js,293,42,99250,0,58,2,147,0,0,23,90,1863,3.64,8,2,True,True,True,35400,7101,35400,129,JavaScript,17123,4726.43,0.72,79.5,Good,True,True
ansible/ansible,5833,2642,419643,1825,0,0,0,0,0,5,90,12362,3.54,13,2,True,False,True,70496,24328,70496,836,Python,265835,5289.3,0.02,75.5,Good,True,True
anthropics/claude-code,229,104,146425,21,0,0,0,0,0,0,70,142,8.65,8,3,True,False,True,143392,22930,143392,15416,Python,29606,553.19,0.01,55.5,Moderate,True,True
anthropics/skills,417,92,163355,70,3,0,1,0,0,1,80,498,6.55,8,3,True,False,True,172460,20491,172460,1189,Python,4379,341.26,0.0,70.0,Good,True,True
antlr/antlr4,2296,283,315559,79,0,0,145,523,140,26,90,4871,2.89,20,5,True,True,True,18986,3462,18986,1089,Java,70649,6050.86,0.04,82.5,Good,True,True
anuraghazra/github-readme-stats,132,18,32550,1,0,0,81,0,0,28,80,149,5.53,7,3,True,True,True,79845,37210,79845,293,JavaScript,7741,2242.49,0.26,74.0,Good,True,True
apache/kafka,7537,1862,1834272,184,3,0,0,6175,0,0,70,67776,2.38,11,3,True,True,True,33640,15468,33640,525,Java,308788,5493.17,0.25,77.5,Good,True,True
apache/rocketmq,2729,833,456924,1,0,0,0,2254,1,123,90,19263,2.17,9,2,True,True,True,22573,11996,22573,586,Java,46664,3559.59,0.24,74.5,Good,True,True
apache/superset,10723,1720,4094197,2606,9,8,68,0,0,393,90,33518,4.59,18,6,True,False,True,74535,18199,74535,605,Python,1127223,4057.14,0.04,58.5,Moderate,True,True
apolloconfig/apollo,1569,491,298459,2,52,15,118,747,0,52,90,7288,3.63,13,5,True,True,True,29807,10163,29807,160,Java,57797,3830.49,0.21,75.5,Good,True,True
aquasecurity/trivy,3328,1531,1136924,4,1,1,3,0,0,283,80,103,3.32,17,4,True,True,True,37690,639,37690,258,Go,941004,2697.89,0.13,67.0,Moderate,True,True
argotorg/solidity,11605,1149,545942,80,3,5,9,1,427,0,90,405,2.8,16,4,True,True,True,25717,6151,25717,801,C++,85728,4030.41,1.16,80.5,Good,True,True
aria2/aria2,1393,77,272288,3,6,2,2,0,0,0,10,34,5.24,11,2,True,False,True,41868,3894,41868,1175,C++,31510,5754.52,0.02,51.5,Needs Improvement,True,True
aristocratos/btop,153,17,63124,0,0,0,0,0,21,0,90,-,Not Supported,8,0,True,True,True,34305,1134,34305,528,C++,10031,1941.15,0.0,68.0,Moderate,False,False
